Mean_Train,STD_Train,Mean_Test,STD_Test
-1797.285714,586.3997905,-1883.714286,341.7691567
-1634.811224,868.8604783,-1796.761905,684.5182459
-1684.142857,793.2446286,-1629.666667,737.9206522
-1695.19898,831.0088203,-1607.404762,1016.897407
-1668.204082,793.0308813,-1654.02381,896.0337602
-1732.80102,677.4854966,-1621.547619,987.7627246
-1616.178571,870.6957831,-1729.452381,714.2100599
-1733.47449,678.1040529,-1861.97619,353.3495159
-1740.602041,648.9037732,-1687.02381,846.4392783
-1592.607143,794.423102,-1554.761905,905.6059221
-1753.566327,697.6661317,-1690.428571,976.8098256
-1708.5,750.9180402,-1713.47619,895.1837332
-1729.265306,764.7807749,-1665.02381,768.2814926
-1724.831633,718.7533547,-1549.261905,1039.450772
-1641.994898,857.8253503,-1764.285714,703.2103352
-1711.418367,739.762916,-1579.642857,1006.804181
-1762.489796,661.6830927,-1742.809524,677.6348307
-1707.096939,755.5588929,-1676.547619,753.6713065
-1689.47449,891.4006202,-1843.642857,486.2064926
-1741.27551,713.7741494,-1860.404762,484.8830522
-1762.265306,655.7493151,-1756.952381,639.0413934
-1644.239796,893.321587,-1482.214286,995.8331648
-1684.255102,777.9717522,-1866.952381,478.629788
-1726.122449,675.61102,-1621.02381,1003.263069
-1729.433673,726.6430648,-1570.214286,976.6588705
-1628.188776,910.7588561,-1564.97619,979.0153092
-1685.209184,762.6490702,-1769,612.5246351
-1707.602041,768.0049458,-1832.642857,449.0252311
-1708.668367,737.6568233,-1314.857143,1205.611771
-1709.959184,802.7353164,-1972.761905,99.64503895
-1650.413265,837.4923988,-1692,911.1458511
-1819.622449,539.6793174,-1747.785714,780.2079557
-1755.923469,706.021896,-1793.357143,529.7895728
-1651.984694,790.7827979,-1765.857143,595.6771486
-1678.306122,780.8846816,-1839.714286,548.9888665
-1621.903061,856.7218346,-1665.285714,700.3407771
-1676.229592,790.5660742,-1675.761905,799.1815995
-1576.556122,997.6111886,-1892.619048,307.4083644
-1701.933673,819.8736218,-1818.5,564.4468109
-1702.270408,682.4172323,-1679.428571,799.5972541
-1619.040816,891.3372082,-1613.428571,1001.968209
-1753.959184,616.9341069,-1804.880952,721.9851668
-1822.989796,504.7493315,-1637.52381,868.3464921
-1625.943878,949.2264315,-1552.404762,907.9038406
-1684.535714,750.2755846,-1665.809524,790.3101934
-1706.311224,800.020459,-1805.928571,526.7535067
-1675.107143,813.6240255,-1640.404762,953.4818664
-1673.367347,808.4063169,-1732.071429,624.928087
-1761.311224,683.5683759,-1750.928571,667.8101524
-1660.795918,822.6855471,-1820.857143,453.0922103
-1630.040816,817.0724235,-1505,999.2168838
-1738.637755,824.1845979,-1709.02381,746.2771567
-1669.77551,789.5282824,-1636.738095,774.0990788
-1627.515306,964.5260625,-1621.809524,906.4476514
-1636.831633,835.3569121,-1776.857143,594.1808115
-1710.408163,694.1015752,-1582.52381,869.3014776
-1729.938776,749.3311006,-1706.404762,610.6992892
-1732.127551,676.2397376,-1604.52381,850.3503546
-1758.336735,662.5727907,-1792.309524,550.9483377
-1737.459184,723.7595323,-1908.857143,296.1965701
-1741.892857,686.497933,-1848.357143,442.5757305
-1663.321429,846.9084316,-1914.880952,275.9105447
-1593.44898,971.8341393,-1801.738095,645.1554283
-1762.265306,789.6114008,-1721.071429,683.8680391
-1688.408163,771.4726487,-1671.309524,795.9449457
-1756.204082,604.6370215,-1968.309524,127.7679236
-1582.729592,958.5257458,-1511.02381,924.6956639
-1738.862245,720.5517206,-1668.952381,877.3534324
-1734.316327,647.8200745,-1663.714286,925.2623382
-1708.836735,764.2972121,-1553.190476,1061.876377
-1701.091837,754.1777126,-1621.547619,969.1096602
-1742.903061,698.0379688,-1502.642857,1130.7819
-1624.204082,967.2225116,-1664.238095,779.3982969
-1696.658163,797.9182356,-1755.642857,719.8010579
-1693.739796,757.6315328,-1862.761905,537.502594
-1617.132653,837.6873733,-1710.071429,767.3607953
-1645.923469,823.4390733,-1718.97619,689.5250086
-1716.076531,786.253107,-1524.904762,986.7097757
-1699.464286,844.5857539,-1586.452381,832.6092436
-1755.923469,788.966703,-1723.952381,741.6907953
-1740.433673,719.0728871,-1691.738095,889.6781403
-1614.719388,831.1798338,-1586.452381,1073.656618
-1703.056122,723.7469269,-1522.809524,1103.391552
-1699.913265,844.3711267,-1570.47619,965.231017
-1664.05102,914.6587283,-1825.047619,622.1465894
-1764.173469,582.9270708,-1950.5,158.7214166
-1682.122449,835.0113499,-1748.833333,712.8205183
-1588.173469,930.8755646,-1756.428571,653.598433
-1623.867347,832.0683245,-1739.142857,838.983443
-1761.591837,661.423555,-1759.309524,758.0436439
-1709.903061,790.6393472,-1651.666667,932.7407813
-1655.295918,819.9830288,-1841.02381,466.1852528
-1585.030612,928.3469889,-1811.952381,583.6806022
-1649.515306,803.7090135,-1475.666667,1011.537765
-1717.479592,789.9091685,-1670.52381,683.185788
-1560.785714,1017.365297,-1798.071429,632.0378377
-1670.729592,775.9429375,-1724.47619,711.2912885
-1681.617347,859.4602373,-1721.071429,616.2937377
-1726.739796,629.5773677,-1483.785714,886.0046097
-1628.581633,935.9599288,-1805.928571,744.5519392